Robust covariance,preds,im2d_names,distance,anomaly_names_3d,sum_3d,how_many_times_3d
0.857758113,-1,VMA_0010S_20180904101637.tif-1,0.142241887,VMA_0010S_20180904101637.tif,1.966187407,13
0.846397081,-1,VMA_0010S_20180904101637.tif-10,0.153602919,VMA_0010S_20180904101637.tif,1.966187407,13
0.846678798,-1,VMA_0010S_20180904101637.tif-11,0.153321202,VMA_0010S_20180904101637.tif,1.966187407,13
0.825957239,-1,VMA_0010S_20180904101637.tif-13,0.174042761,VMA_0010S_20180904101637.tif,1.966187407,13
0.844974471,-1,VMA_0010S_20180904101637.tif-15,0.155025529,VMA_0010S_20180904101637.tif,1.966187407,13
0.85708934,-1,VMA_0010S_20180904101637.tif-18,0.14291066,VMA_0010S_20180904101637.tif,1.966187407,13
0.852762369,-1,VMA_0010S_20180904101637.tif-2,0.147237631,VMA_0010S_20180904101637.tif,1.966187407,13
0.868604795,-1,VMA_0010S_20180904101637.tif-25,0.131395205,VMA_0010S_20180904101637.tif,1.966187407,13
0.849647361,-1,VMA_0010S_20180904101637.tif-3,0.150352639,VMA_0010S_20180904101637.tif,1.966187407,13
0.811126503,-1,VMA_0010S_20180904101637.tif-5,0.188873497,VMA_0010S_20180904101637.tif,1.966187407,13
0.866883721,-1,VMA_0010S_20180904101637.tif-55,0.133116279,VMA_0010S_20180904101637.tif,1.966187407,13
0.864030647,-1,VMA_0010S_20180904101637.tif-59,0.135969353,VMA_0010S_20180904101637.tif,1.966187407,13
0.841902153,-1,VMA_0010S_20180904101637.tif-9,0.158097847,VMA_0010S_20180904101637.tif,1.966187407,13
0.843105478,-1,VMA_0013S_20170125102504.tif-1,0.156894522,VMA_0013S_20170125102504.tif,0.45039893,3
0.842182613,-1,VMA_0013S_20170125102504.tif-2,0.157817387,VMA_0013S_20170125102504.tif,0.45039893,3
0.864312979,-1,VMA_0013S_20170125102504.tif-5,0.135687021,VMA_0013S_20170125102504.tif,0.45039893,3
0.851454284,-1,VMT_0004S_20180316133856.tif-1,0.148545716,VMT_0004S_20180316133856.tif,3.552861044,24
0.819876263,-1,VMT_0004S_20180316133856.tif-10,0.180123737,VMT_0004S_20180316133856.tif,3.552861044,24
0.847201895,-1,VMT_0004S_20180316133856.tif-12,0.152798105,VMT_0004S_20180316133856.tif,3.552861044,24
0.866686466,-1,VMT_0004S_20180316133856.tif-13,0.133313534,VMT_0004S_20180316133856.tif,3.552861044,24
0.836567463,-1,VMT_0004S_20180316133856.tif-16,0.163432537,VMT_0004S_20180316133856.tif,3.552861044,24
0.84373891,-1,VMT_0004S_20180316133856.tif-2,0.15626109,VMT_0004S_20180316133856.tif,3.552861044,24
0.851373297,-1,VMT_0004S_20180316133856.tif-28,0.148626703,VMT_0004S_20180316133856.tif,3.552861044,24
0.861117483,-1,VMT_0004S_20180316133856.tif-30,0.138882517,VMT_0004S_20180316133856.tif,3.552861044,24
0.861944886,-1,VMT_0004S_20180316133856.tif-31,0.138055114,VMT_0004S_20180316133856.tif,3.552861044,24
0.866880037,-1,VMT_0004S_20180316133856.tif-33,0.133119963,VMT_0004S_20180316133856.tif,3.552861044,24
0.837504749,-1,VMT_0004S_20180316133856.tif-35,0.162495251,VMT_0004S_20180316133856.tif,3.552861044,24
0.839695704,-1,VMT_0004S_20180316133856.tif-39,0.160304296,VMT_0004S_20180316133856.tif,3.552861044,24
0.854062418,-1,VMT_0004S_20180316133856.tif-40,0.145937582,VMT_0004S_20180316133856.tif,3.552861044,24
0.860822217,-1,VMT_0004S_20180316133856.tif-41,0.139177783,VMT_0004S_20180316133856.tif,3.552861044,24
0.859405144,-1,VMT_0004S_20180316133856.tif-42,0.140594856,VMT_0004S_20180316133856.tif,3.552861044,24
0.863274242,-1,VMT_0004S_20180316133856.tif-62,0.136725758,VMT_0004S_20180316133856.tif,3.552861044,24
0.849383931,-1,VMT_0004S_20180316133856.tif-63,0.150616069,VMT_0004S_20180316133856.tif,3.552861044,24
0.854321802,-1,VMT_0004S_20180316133856.tif-71,0.145678198,VMT_0004S_20180316133856.tif,3.552861044,24
0.855785347,-1,VMT_0004S_20180316133856.tif-8,0.144214653,VMT_0004S_20180316133856.tif,3.552861044,24
0.843715047,-1,VMT_0004S_20180316133856.tif-84,0.156284953,VMT_0004S_20180316133856.tif,3.552861044,24
0.866584312,-1,VMT_0004S_20180316133856.tif-85,0.133415688,VMT_0004S_20180316133856.tif,3.552861044,24
0.855740997,-1,VMT_0004S_20180316133856.tif-89,0.144259003,VMT_0004S_20180316133856.tif,3.552861044,24
0.841909358,-1,VMT_0004S_20180316133856.tif-9,0.158090642,VMT_0004S_20180316133856.tif,3.552861044,24
0.858092705,-1,VMT_0004S_20180316133856.tif-92,0.141907295,VMT_0004S_20180316133856.tif,3.552861044,24
0.825851837,-1,VMT_0008S_20190917115140.tif-49,0.174148163,VMT_0008S_20190917115140.tif,0.85337375,6
0.868737776,-1,VMT_0008S_20190917115140.tif-51,0.131262224,VMT_0008S_20190917115140.tif,0.85337375,6
0.865635852,-1,VMT_0008S_20190917115140.tif-52,0.134364148,VMT_0008S_20190917115140.tif,0.85337375,6
0.862340465,-1,VMT_0008S_20190917115140.tif-53,0.137659535,VMT_0008S_20190917115140.tif,0.85337375,6
0.860244233,-1,VMT_0008S_20190917115140.tif-67,0.139755767,VMT_0008S_20190917115140.tif,0.85337375,6
0.863816087,-1,VMT_0008S_20190917115140.tif-74,0.136183913,VMT_0008S_20190917115140.tif,0.85337375,6
0.621108624,-1,VMT_0014S_20181220095956.tif-1,0.378891376,VMT_0014S_20181220095956.tif,61.28022863,141
0.533200813,-1,VMT_0014S_20181220095956.tif-10,0.466799187,VMT_0014S_20181220095956.tif,61.28022863,141
0.759853118,-1,VMT_0014S_20181220095956.tif-100,0.240146882,VMT_0014S_20181220095956.tif,61.28022863,141
0.786832856,-1,VMT_0014S_20181220095956.tif-101,0.213167144,VMT_0014S_20181220095956.tif,61.28022863,141
0.720111963,-1,VMT_0014S_20181220095956.tif-102,0.279888037,VMT_0014S_20181220095956.tif,61.28022863,141
0.738812054,-1,VMT_0014S_20181220095956.tif-103,0.261187946,VMT_0014S_20181220095956.tif,61.28022863,141
0.797668074,-1,VMT_0014S_20181220095956.tif-104,0.202331926,VMT_0014S_20181220095956.tif,61.28022863,141
0.750260846,-1,VMT_0014S_20181220095956.tif-105,0.249739154,VMT_0014S_20181220095956.tif,61.28022863,141
0.756578369,-1,VMT_0014S_20181220095956.tif-106,0.243421631,VMT_0014S_20181220095956.tif,61.28022863,141
0.763711331,-1,VMT_0014S_20181220095956.tif-107,0.236288669,VMT_0014S_20181220095956.tif,61.28022863,141
0.735847944,-1,VMT_0014S_20181220095956.tif-108,0.264152056,VMT_0014S_20181220095956.tif,61.28022863,141
0.78026224,-1,VMT_0014S_20181220095956.tif-109,0.21973776,VMT_0014S_20181220095956.tif,61.28022863,141
0.531490845,-1,VMT_0014S_20181220095956.tif-11,0.468509155,VMT_0014S_20181220095956.tif,61.28022863,141
0.754741796,-1,VMT_0014S_20181220095956.tif-110,0.245258204,VMT_0014S_20181220095956.tif,61.28022863,141
0.735155792,-1,VMT_0014S_20181220095956.tif-111,0.264844208,VMT_0014S_20181220095956.tif,61.28022863,141
0.804095706,-1,VMT_0014S_20181220095956.tif-112,0.195904294,VMT_0014S_20181220095956.tif,61.28022863,141
0.787190528,-1,VMT_0014S_20181220095956.tif-113,0.212809472,VMT_0014S_20181220095956.tif,61.28022863,141
0.769747152,-1,VMT_0014S_20181220095956.tif-114,0.230252848,VMT_0014S_20181220095956.tif,61.28022863,141
0.78535017,-1,VMT_0014S_20181220095956.tif-115,0.21464983,VMT_0014S_20181220095956.tif,61.28022863,141
0.817054082,-1,VMT_0014S_20181220095956.tif-116,0.182945918,VMT_0014S_20181220095956.tif,61.28022863,141
0.843294944,-1,VMT_0014S_20181220095956.tif-117,0.156705056,VMT_0014S_20181220095956.tif,61.28022863,141
0.846479667,-1,VMT_0014S_20181220095956.tif-118,0.153520333,VMT_0014S_20181220095956.tif,61.28022863,141
0.838550593,-1,VMT_0014S_20181220095956.tif-119,0.161449407,VMT_0014S_20181220095956.tif,61.28022863,141
0.455378154,-1,VMT_0014S_20181220095956.tif-12,0.544621846,VMT_0014S_20181220095956.tif,61.28022863,141
0.83113531,-1,VMT_0014S_20181220095956.tif-120,0.16886469,VMT_0014S_20181220095956.tif,61.28022863,141
0.856371308,-1,VMT_0014S_20181220095956.tif-121,0.143628692,VMT_0014S_20181220095956.tif,61.28022863,141
0.772356169,-1,VMT_0014S_20181220095956.tif-122,0.227643831,VMT_0014S_20181220095956.tif,61.28022863,141
0.765352754,-1,VMT_0014S_20181220095956.tif-123,0.234647246,VMT_0014S_20181220095956.tif,61.28022863,141
0.798744034,-1,VMT_0014S_20181220095956.tif-124,0.201255966,VMT_0014S_20181220095956.tif,61.28022863,141
0.709098439,-1,VMT_0014S_20181220095956.tif-125,0.290901561,VMT_0014S_20181220095956.tif,61.28022863,141
0.645523884,-1,VMT_0014S_20181220095956.tif-126,0.354476116,VMT_0014S_20181220095956.tif,61.28022863,141
0.653447239,-1,VMT_0014S_20181220095956.tif-127,0.346552761,VMT_0014S_20181220095956.tif,61.28022863,141
0.514268369,-1,VMT_0014S_20181220095956.tif-128,0.485731631,VMT_0014S_20181220095956.tif,61.28022863,141
0.592394242,-1,VMT_0014S_20181220095956.tif-129,0.407605758,VMT_0014S_20181220095956.tif,61.28022863,141
0.582082177,-1,VMT_0014S_20181220095956.tif-13,0.417917823,VMT_0014S_20181220095956.tif,61.28022863,141
0.595964136,-1,VMT_0014S_20181220095956.tif-130,0.404035864,VMT_0014S_20181220095956.tif,61.28022863,141
0.550100028,-1,VMT_0014S_20181220095956.tif-131,0.449899972,VMT_0014S_20181220095956.tif,61.28022863,141
0.487885744,-1,VMT_0014S_20181220095956.tif-132,0.512114256,VMT_0014S_20181220095956.tif,61.28022863,141
0.526870933,-1,VMT_0014S_20181220095956.tif-133,0.473129067,VMT_0014S_20181220095956.tif,61.28022863,141
0.429690738,-1,VMT_0014S_20181220095956.tif-134,0.570309262,VMT_0014S_20181220095956.tif,61.28022863,141
0.344417669,-1,VMT_0014S_20181220095956.tif-135,0.655582331,VMT_0014S_20181220095956.tif,61.28022863,141
0.276123072,-1,VMT_0014S_20181220095956.tif-136,0.723876928,VMT_0014S_20181220095956.tif,61.28022863,141
0.304976153,-1,VMT_0014S_20181220095956.tif-137,0.695023847,VMT_0014S_20181220095956.tif,61.28022863,141
0.224995633,-1,VMT_0014S_20181220095956.tif-138,0.775004367,VMT_0014S_20181220095956.tif,61.28022863,141
0,-1,VMT_0014S_20181220095956.tif-139,1,VMT_0014S_20181220095956.tif,61.28022863,141
0.533802352,-1,VMT_0014S_20181220095956.tif-14,0.466197648,VMT_0014S_20181220095956.tif,61.28022863,141
0.122755662,-1,VMT_0014S_20181220095956.tif-140,0.877244338,VMT_0014S_20181220095956.tif,61.28022863,141
0.262713627,-1,VMT_0014S_20181220095956.tif-141,0.737286373,VMT_0014S_20181220095956.tif,61.28022863,141
0.500973121,-1,VMT_0014S_20181220095956.tif-15,0.499026879,VMT_0014S_20181220095956.tif,61.28022863,141
0.486504632,-1,VMT_0014S_20181220095956.tif-16,0.513495368,VMT_0014S_20181220095956.tif,61.28022863,141
0.609572002,-1,VMT_0014S_20181220095956.tif-17,0.390427998,VMT_0014S_20181220095956.tif,61.28022863,141
0.61195315,-1,VMT_0014S_20181220095956.tif-18,0.38804685,VMT_0014S_20181220095956.tif,61.28022863,141
0.452203166,-1,VMT_0014S_20181220095956.tif-19,0.547796834,VMT_0014S_20181220095956.tif,61.28022863,141
0.571568786,-1,VMT_0014S_20181220095956.tif-2,0.428431214,VMT_0014S_20181220095956.tif,61.28022863,141
0.441001351,-1,VMT_0014S_20181220095956.tif-20,0.558998649,VMT_0014S_20181220095956.tif,61.28022863,141
0.523459645,-1,VMT_0014S_20181220095956.tif-21,0.476540355,VMT_0014S_20181220095956.tif,61.28022863,141
0.428753218,-1,VMT_0014S_20181220095956.tif-22,0.571246782,VMT_0014S_20181220095956.tif,61.28022863,141
0.354125825,-1,VMT_0014S_20181220095956.tif-23,0.645874175,VMT_0014S_20181220095956.tif,61.28022863,141
0.479581738,-1,VMT_0014S_20181220095956.tif-24,0.520418262,VMT_0014S_20181220095956.tif,61.28022863,141
0.492135464,-1,VMT_0014S_20181220095956.tif-25,0.507864536,VMT_0014S_20181220095956.tif,61.28022863,141
0.406400131,-1,VMT_0014S_20181220095956.tif-26,0.593599869,VMT_0014S_20181220095956.tif,61.28022863,141
0.428133863,-1,VMT_0014S_20181220095956.tif-27,0.571866137,VMT_0014S_20181220095956.tif,61.28022863,141
0.447469727,-1,VMT_0014S_20181220095956.tif-28,0.552530273,VMT_0014S_20181220095956.tif,61.28022863,141
0.495989429,-1,VMT_0014S_20181220095956.tif-29,0.504010571,VMT_0014S_20181220095956.tif,61.28022863,141
0.700374223,-1,VMT_0014S_20181220095956.tif-3,0.299625777,VMT_0014S_20181220095956.tif,61.28022863,141
0.575177771,-1,VMT_0014S_20181220095956.tif-30,0.424822229,VMT_0014S_20181220095956.tif,61.28022863,141
0.506511686,-1,VMT_0014S_20181220095956.tif-31,0.493488314,VMT_0014S_20181220095956.tif,61.28022863,141
0.485580096,-1,VMT_0014S_20181220095956.tif-32,0.514419904,VMT_0014S_20181220095956.tif,61.28022863,141
0.448557286,-1,VMT_0014S_20181220095956.tif-33,0.551442714,VMT_0014S_20181220095956.tif,61.28022863,141
0.433654722,-1,VMT_0014S_20181220095956.tif-34,0.566345278,VMT_0014S_20181220095956.tif,61.28022863,141
0.580500976,-1,VMT_0014S_20181220095956.tif-35,0.419499024,VMT_0014S_20181220095956.tif,61.28022863,141
0.496773217,-1,VMT_0014S_20181220095956.tif-36,0.503226783,VMT_0014S_20181220095956.tif,61.28022863,141
0.367107831,-1,VMT_0014S_20181220095956.tif-37,0.632892169,VMT_0014S_20181220095956.tif,61.28022863,141
0.498855918,-1,VMT_0014S_20181220095956.tif-38,0.501144082,VMT_0014S_20181220095956.tif,61.28022863,141
0.551537435,-1,VMT_0014S_20181220095956.tif-39,0.448462565,VMT_0014S_20181220095956.tif,61.28022863,141
0.574083298,-1,VMT_0014S_20181220095956.tif-4,0.425916702,VMT_0014S_20181220095956.tif,61.28022863,141
0.538771256,-1,VMT_0014S_20181220095956.tif-40,0.461228744,VMT_0014S_20181220095956.tif,61.28022863,141
0.4717827,-1,VMT_0014S_20181220095956.tif-41,0.5282173,VMT_0014S_20181220095956.tif,61.28022863,141
0.525667001,-1,VMT_0014S_20181220095956.tif-42,0.474332999,VMT_0014S_20181220095956.tif,61.28022863,141
0.473407346,-1,VMT_0014S_20181220095956.tif-43,0.526592654,VMT_0014S_20181220095956.tif,61.28022863,141
0.459787575,-1,VMT_0014S_20181220095956.tif-44,0.540212425,VMT_0014S_20181220095956.tif,61.28022863,141
0.472625761,-1,VMT_0014S_20181220095956.tif-45,0.527374239,VMT_0014S_20181220095956.tif,61.28022863,141
0.497026686,-1,VMT_0014S_20181220095956.tif-46,0.502973314,VMT_0014S_20181220095956.tif,61.28022863,141
0.390448007,-1,VMT_0014S_20181220095956.tif-47,0.609551993,VMT_0014S_20181220095956.tif,61.28022863,141
0.431598612,-1,VMT_0014S_20181220095956.tif-48,0.568401388,VMT_0014S_20181220095956.tif,61.28022863,141
0.451757209,-1,VMT_0014S_20181220095956.tif-49,0.548242791,VMT_0014S_20181220095956.tif,61.28022863,141
0.580120294,-1,VMT_0014S_20181220095956.tif-5,0.419879706,VMT_0014S_20181220095956.tif,61.28022863,141
0.497570756,-1,VMT_0014S_20181220095956.tif-50,0.502429244,VMT_0014S_20181220095956.tif,61.28022863,141
0.370339218,-1,VMT_0014S_20181220095956.tif-51,0.629660782,VMT_0014S_20181220095956.tif,61.28022863,141
0.474567371,-1,VMT_0014S_20181220095956.tif-52,0.525432629,VMT_0014S_20181220095956.tif,61.28022863,141
0.51253182,-1,VMT_0014S_20181220095956.tif-53,0.48746818,VMT_0014S_20181220095956.tif,61.28022863,141
0.247701268,-1,VMT_0014S_20181220095956.tif-54,0.752298732,VMT_0014S_20181220095956.tif,61.28022863,141
0.279348502,-1,VMT_0014S_20181220095956.tif-55,0.720651498,VMT_0014S_20181220095956.tif,61.28022863,141
0.436044211,-1,VMT_0014S_20181220095956.tif-56,0.563955789,VMT_0014S_20181220095956.tif,61.28022863,141
0.341255207,-1,VMT_0014S_20181220095956.tif-57,0.658744793,VMT_0014S_20181220095956.tif,61.28022863,141
0.388280445,-1,VMT_0014S_20181220095956.tif-58,0.611719555,VMT_0014S_20181220095956.tif,61.28022863,141
0.312812226,-1,VMT_0014S_20181220095956.tif-59,0.687187774,VMT_0014S_20181220095956.tif,61.28022863,141
0.632059314,-1,VMT_0014S_20181220095956.tif-6,0.367940686,VMT_0014S_20181220095956.tif,61.28022863,141
0.405497078,-1,VMT_0014S_20181220095956.tif-60,0.594502922,VMT_0014S_20181220095956.tif,61.28022863,141
0.397215743,-1,VMT_0014S_20181220095956.tif-61,0.602784257,VMT_0014S_20181220095956.tif,61.28022863,141
0.469695243,-1,VMT_0014S_20181220095956.tif-62,0.530304757,VMT_0014S_20181220095956.tif,61.28022863,141
0.395671713,-1,VMT_0014S_20181220095956.tif-63,0.604328287,VMT_0014S_20181220095956.tif,61.28022863,141
0.443075315,-1,VMT_0014S_20181220095956.tif-64,0.556924685,VMT_0014S_20181220095956.tif,61.28022863,141
0.426617335,-1,VMT_0014S_20181220095956.tif-65,0.573382665,VMT_0014S_20181220095956.tif,61.28022863,141
0.370824377,-1,VMT_0014S_20181220095956.tif-66,0.629175623,VMT_0014S_20181220095956.tif,61.28022863,141
0.36659096,-1,VMT_0014S_20181220095956.tif-67,0.63340904,VMT_0014S_20181220095956.tif,61.28022863,141
0.497427923,-1,VMT_0014S_20181220095956.tif-68,0.502572077,VMT_0014S_20181220095956.tif,61.28022863,141
0.388851665,-1,VMT_0014S_20181220095956.tif-69,0.611148335,VMT_0014S_20181220095956.tif,61.28022863,141
0.605649343,-1,VMT_0014S_20181220095956.tif-7,0.394350657,VMT_0014S_20181220095956.tif,61.28022863,141
0.565148529,-1,VMT_0014S_20181220095956.tif-70,0.434851471,VMT_0014S_20181220095956.tif,61.28022863,141
0.485614778,-1,VMT_0014S_20181220095956.tif-71,0.514385222,VMT_0014S_20181220095956.tif,61.28022863,141
0.540898356,-1,VMT_0014S_20181220095956.tif-72,0.459101644,VMT_0014S_20181220095956.tif,61.28022863,141
0.41403361,-1,VMT_0014S_20181220095956.tif-73,0.58596639,VMT_0014S_20181220095956.tif,61.28022863,141
0.580403083,-1,VMT_0014S_20181220095956.tif-74,0.419596917,VMT_0014S_20181220095956.tif,61.28022863,141
0.608259751,-1,VMT_0014S_20181220095956.tif-75,0.391740249,VMT_0014S_20181220095956.tif,61.28022863,141
0.560509545,-1,VMT_0014S_20181220095956.tif-76,0.439490455,VMT_0014S_20181220095956.tif,61.28022863,141
0.539205939,-1,VMT_0014S_20181220095956.tif-77,0.460794061,VMT_0014S_20181220095956.tif,61.28022863,141
0.602805473,-1,VMT_0014S_20181220095956.tif-78,0.397194527,VMT_0014S_20181220095956.tif,61.28022863,141
0.639410902,-1,VMT_0014S_20181220095956.tif-79,0.360589098,VMT_0014S_20181220095956.tif,61.28022863,141
0.519213951,-1,VMT_0014S_20181220095956.tif-8,0.480786049,VMT_0014S_20181220095956.tif,61.28022863,141
0.681675858,-1,VMT_0014S_20181220095956.tif-80,0.318324142,VMT_0014S_20181220095956.tif,61.28022863,141
0.671804026,-1,VMT_0014S_20181220095956.tif-81,0.328195974,VMT_0014S_20181220095956.tif,61.28022863,141
0.650942699,-1,VMT_0014S_20181220095956.tif-82,0.349057301,VMT_0014S_20181220095956.tif,61.28022863,141
0.625522539,-1,VMT_0014S_20181220095956.tif-83,0.374477461,VMT_0014S_20181220095956.tif,61.28022863,141
0.688024733,-1,VMT_0014S_20181220095956.tif-84,0.311975267,VMT_0014S_20181220095956.tif,61.28022863,141
0.623310035,-1,VMT_0014S_20181220095956.tif-85,0.376689965,VMT_0014S_20181220095956.tif,61.28022863,141
0.742564122,-1,VMT_0014S_20181220095956.tif-86,0.257435878,VMT_0014S_20181220095956.tif,61.28022863,141
0.735403998,-1,VMT_0014S_20181220095956.tif-87,0.264596002,VMT_0014S_20181220095956.tif,61.28022863,141
0.708997202,-1,VMT_0014S_20181220095956.tif-88,0.291002798,VMT_0014S_20181220095956.tif,61.28022863,141
0.761565306,-1,VMT_0014S_20181220095956.tif-89,0.238434694,VMT_0014S_20181220095956.tif,61.28022863,141
0.559026644,-1,VMT_0014S_20181220095956.tif-9,0.440973356,VMT_0014S_20181220095956.tif,61.28022863,141
0.76030534,-1,VMT_0014S_20181220095956.tif-90,0.23969466,VMT_0014S_20181220095956.tif,61.28022863,141
0.682032838,-1,VMT_0014S_20181220095956.tif-91,0.317967162,VMT_0014S_20181220095956.tif,61.28022863,141
0.747015034,-1,VMT_0014S_20181220095956.tif-92,0.252984966,VMT_0014S_20181220095956.tif,61.28022863,141
0.778624934,-1,VMT_0014S_20181220095956.tif-93,0.221375066,VMT_0014S_20181220095956.tif,61.28022863,141
0.761665139,-1,VMT_0014S_20181220095956.tif-94,0.238334861,VMT_0014S_20181220095956.tif,61.28022863,141
0.787429313,-1,VMT_0014S_20181220095956.tif-95,0.212570687,VMT_0014S_20181220095956.tif,61.28022863,141
0.778067873,-1,VMT_0014S_20181220095956.tif-96,0.221932127,VMT_0014S_20181220095956.tif,61.28022863,141
0.821311873,-1,VMT_0014S_20181220095956.tif-97,0.178688127,VMT_0014S_20181220095956.tif,61.28022863,141
0.737476115,-1,VMT_0014S_20181220095956.tif-98,0.262523885,VMT_0014S_20181220095956.tif,61.28022863,141
0.766495315,-1,VMT_0014S_20181220095956.tif-99,0.233504685,VMT_0014S_20181220095956.tif,61.28022863,141
0.846953517,-1,VMT_0018S_20160811094328.tif-125,0.153046483,VMT_0018S_20160811094328.tif,4.044692326,17
0.840284229,-1,VMT_0018S_20160811094328.tif-126,0.159715771,VMT_0018S_20160811094328.tif,4.044692326,17
0.799176368,-1,VMT_0018S_20160811094328.tif-127,0.200823632,VMT_0018S_20160811094328.tif,4.044692326,17
0.759109557,-1,VMT_0018S_20160811094328.tif-128,0.240890443,VMT_0018S_20160811094328.tif,4.044692326,17
0.794838619,-1,VMT_0018S_20160811094328.tif-129,0.205161381,VMT_0018S_20160811094328.tif,4.044692326,17
0.819080121,-1,VMT_0018S_20160811094328.tif-130,0.180919879,VMT_0018S_20160811094328.tif,4.044692326,17
0.812662252,-1,VMT_0018S_20160811094328.tif-131,0.187337748,VMT_0018S_20160811094328.tif,4.044692326,17
0.741425703,-1,VMT_0018S_20160811094328.tif-132,0.258574297,VMT_0018S_20160811094328.tif,4.044692326,17
0.722843394,-1,VMT_0018S_20160811094328.tif-133,0.277156606,VMT_0018S_20160811094328.tif,4.044692326,17
0.758127118,-1,VMT_0018S_20160811094328.tif-134,0.241872882,VMT_0018S_20160811094328.tif,4.044692326,17
0.741661476,-1,VMT_0018S_20160811094328.tif-135,0.258338524,VMT_0018S_20160811094328.tif,4.044692326,17
0.685981968,-1,VMT_0018S_20160811094328.tif-136,0.314018032,VMT_0018S_20160811094328.tif,4.044692326,17
0.763387355,-1,VMT_0018S_20160811094328.tif-137,0.236612645,VMT_0018S_20160811094328.tif,4.044692326,17
0.714539574,-1,VMT_0018S_20160811094328.tif-138,0.285460426,VMT_0018S_20160811094328.tif,4.044692326,17
0.73488007,-1,VMT_0018S_20160811094328.tif-139,0.26511993,VMT_0018S_20160811094328.tif,4.044692326,17
0.718942392,-1,VMT_0018S_20160811094328.tif-140,0.281057608,VMT_0018S_20160811094328.tif,4.044692326,17
0.701413961,-1,VMT_0018S_20160811094328.tif-141,0.298586039,VMT_0018S_20160811094328.tif,4.044692326,17
0.834150182,-1,VMT_0023S_20160927133506.tif-134,0.165849818,VMT_0023S_20160927133506.tif,1.614627064,8
0.852852519,-1,VMT_0023S_20160927133506.tif-135,0.147147481,VMT_0023S_20160927133506.tif,1.614627064,8
0.819726215,-1,VMT_0023S_20160927133506.tif-136,0.180273785,VMT_0023S_20160927133506.tif,1.614627064,8
0.793987968,-1,VMT_0023S_20160927133506.tif-137,0.206012032,VMT_0023S_20160927133506.tif,1.614627064,8
0.785771841,-1,VMT_0023S_20160927133506.tif-138,0.214228159,VMT_0023S_20160927133506.tif,1.614627064,8
0.789781392,-1,VMT_0023S_20160927133506.tif-139,0.210218608,VMT_0023S_20160927133506.tif,1.614627064,8
0.768326697,-1,VMT_0023S_20160927133506.tif-140,0.231673303,VMT_0023S_20160927133506.tif,1.614627064,8
0.740776124,-1,VMT_0023S_20160927133506.tif-141,0.259223876,VMT_0023S_20160927133506.tif,1.614627064,8
